publisher,title,author,primary_isbn10,weeks_on_list
Delacorte,WORTH DYING FOR,Lee Child,440339340,1
Soho Press,THE BOY IN THE SUITCASE,Lene Kaaberbol,1569479828,4
Viking,THE MAGICIAN'S LAND,Lev Grossman,1101633530,1
DLZ Entertainment,DOMINANCE NEVER DIES,Lexi Blake,1937608514,0
DLZ Entertainment,FROM SANCTUM WITH LOVE,Lexi Blake,1937608492,0
DLZ Entertainment,SUBMISSION IS NOT ENOUGH,Lexi Blake,1937608530,1
Berkley,BIG LITTLE LIES,Liane Moriarty,425274861,38
Harper Perennial,THE LAST ANNIVERSARY,Liane Moriarty,62008676,0
Flatiron,TRULY MADLY GUILTY,Liane Moriarty,1250069815,9
Liliana Hart,CRAVE,Liliana Hart,1940499194,0
Knopf Doubleday Publishing Group,DEEP STORM,Lincoln Child,307387682,0
Doubleday,FULL WOLF MOON,Lincoln Child,385531435,1
Doubleday,THE FORGOTTEN ROOM,Lincoln Child,385531419,1
Anchor,THE THIRD GATE,Lincoln Child,385531397,2
Minotaur,AMONG THE WICKED,Linda Castillo,1466867272,1
Penguin Group,SILENT MERCY,Linda Fairstein,525952020,0
Random House,PREY,Linda Howard,345526295,1
Morrow,TROUBLEMAKER,Linda Howard,62419005,1
Harlequin,A CREED IN STONE CREEK,Linda Lael Miller,373775555,2
HQN,ALWAYS A COWBOY,Linda Lael Miller,1460394135,1
Harlequin,BIG SKY COUNTRY,Linda Lael Miller,1459230043,1
Harlequin,BIG SKY SECRETS,Linda Lael Miller,1460323769,1
Harlequin,BIG SKY WEDDING,Linda Lael Miller,1460318064,1
Harlequin,CREED'S HONOR,Linda Lael Miller,373775806,1
HQN,ONCE A RANCHER,Linda Lael Miller,1459292529,1
Harlequin,THE CREED LEGACY,Linda Lael Miller,373776004,0
Harlequin HQN,THE MARRIAGE PACT,Linda Lael Miller,1460332962,0
Harlequin,THE MARRIAGE SEASON,Linda Lael Miller,1460381807,1
Random House,ALONE,Lisa Gardner,553901133,4
Dutton,LOOK FOR ME,Lisa Gardner,1524742066,3
Random House,LOVE YOU MORE,Lisa Gardner,553908111,5
Dutton,RIGHT BEHIND YOU,Lisa Gardner,698411439,4
Bantam,THE PERFECT HUSBAND,Lisa Gardner,553900862,0
Pocket,STILL ALICE,Lisa Genova,1439157030,0
Kensington,CLOSE TO HOME,Lisa Jackson,1617735183,1
Zebra,EXPECTING TO DIE,Lisa Jackson,1420136070,3
Zebra,LEFT TO DIE,Lisa Jackson,1420106341,1
Zebra/Mulholland,NEVER DIE ALONE,Lisa Jackson,1420136062,1
Zebra,REVENGE,Lisa Jackson,1420136046,0
Zebra,RUTHLESS,Lisa Jackson,1420146408,1
Kensington Publishing,YOU DONT WANT TO KNOW,Lisa Jackson,758279590,1
Kensington Publishing,YOU DONT WANT TO KNOW,Lisa Jackson,758279590,1
Zebra,ONE LAST BREATH,Lisa Jackson and Nancy Bush,1420136135,2
Zebra,OMINOUS,"Lisa Jackson, Nancy Bush and Rosalind Noonan",1420137891,1
Atria Books,THE HOUSE WE GREW UP IN,Lisa Jewell,1476703019,1
Atria,THEN SHE WAS GONE,Lisa Jewell,1501154664,1
Avon,DEVIL IN SPRING,Lisa Kleypas,62371908,1
St. Martin's Press,DREAM LAKE,Lisa Kleypas,1250014271,1
Avon,HELLO STRANGER,Lisa Kleypas,62371894,1
Avon,MARRYING WINTERBORNE,Lisa Kleypas,62371851,0
St. Martins Press,RAINSHADOW ROAD,Lisa Kleypas,1429938374,1
Simon & Schuster,THE SPELLMAN FILES,Lisa Lutz,1416539204,0
Gallery,REVEALING US,Lisa Renee Jones,1476727244,0
St. Martin's,AFTER ANNA,Lisa Scottoline,1250099676,3
St. Martin's,BETRAYED,Lisa Scottoline,1250027683,1
St. Martins Press,COME HOME,Lisa Scottoline,1429942320,1
St. Martin's,CORRUPTED,Lisa Scottoline,1250027942,1
HarperCollins,DADDY'S GIRL,Lisa Scottoline,61797766,1
St. Martin's,DAMAGED,Lisa Scottoline,1250099633,1
St. Martin's,EXPOSED,Lisa Scottoline,1250099730,1
St. Martin's,KEEP QUIET,Lisa Scottoline,1466842040,2
St. Martin's,MOST WANTED,Lisa Scottoline,1250088127,1
St. Martin's,ONE PERFECT LIE,Lisa Scottoline,1250099587,2
St. Martins,SAVE ME,Lisa Scottoline,1429959797,0
Random House,DREAMS OF JOY,Lisa See,679604898,0
Ballantine,BEFORE WE WERE YOURS,Lisa Wingate,425284697,35
St. Martins,LIVE WIRE,Lora Leigh,1429985356,1
Revell,DYING TO READ,Lorena McCourtney,1441238220,0
HarperCollins,LORD OF SCOUNDRELS,Loretta Chase,61753815,0
Harlequin,A PERFECT STORM,Lori Foster,1459225651,1
Harlequin HQN,DASH OF PERIL,Lori Foster,1460328639,0
HQN,FIGHTING DIRTY,Lori Foster,1459292413,1
Harlequin HQN,GETTING ROWDY,Lori Foster,1460319559,0
HQN,TOUGH LOVE,Lori Foster,1460384067,0
Harper,LAROSE,Louise Erdrich,62277022,0
HarperCollins Publishers,THE ROUND HOUSE,Louise Erdrich,62065246,0
Minotaur,A GREAT RECKONING,Louise Penny,1250022126,0
Minotaur,GLASS HOUSES,Louise Penny,1250066190,2
Minotaur,HOW THE LIGHT GETS IN,Louise Penny,1466834706,1
Minotaur,STILL LIFE,Louise Penny,1429967234,1
St. Martin's Press,THE BEAUTIFUL MYSTERY,Louise Penny,1250015278,1
Minotaur,THE NATURE OF THE BEAST,Louise Penny,1250022096,1
Oak Press,FOUR WEDDINGS AND A FIASCO BOXED SET,Lucy Kevin,1938127250,0
Avon,FALLING FOR THE HIGHLANDER,Lynsay Sands,62273620,1
HarperCollins Publishers,IMMORTAL EVER AFTER,Lynsay Sands,62078127,1
Avon/HarperCollins,IMMORTAL NIGHTS,Lynsay Sands,62316079,1
Avon,IMMORTAL UNCHAINED,Lynsay Sands,62468855,1
Avon,IMMORTALLY YOURS,Lynsay Sands,62468863,1
Avon,RUNAWAY VAMPIRE,Lynsay Sands,62316052,1
Avon,TWICE BITTEN,Lynsay Sands,62468871,1
HarperCollins Publishers,UNDER A VAMPIRE MOON,Lynsay Sands,62119370,1
Avon/HarperCollins,VAMPIRE MOST WANTED,Lynsay Sands,62078097,1
Scribner,THE LIGHT BETWEEN OCEANS,M L Stedman,1451681763,0
HTJB,VIRTUOUS,M S Force,1942295081,0
"Little, Brown",CIRCE,Madeline Miller,316556343,1
Knopf Doubleday,MINDING FRANKIE,Maeve Binchy,307595161,0
Putnam,TOM CLANCY POWER AND EMPIRE,Marc Cameron,735215898,4
"Little, Brown",TODAY WILL BE DIFFERENT,Maria Semple,316403431,0
HTJB,DESIRE AFTER DARK,Marie Force,1942295502,0
HQN,FATAL CHAOS,Marie Force,1488079021,1
HQN,FATAL IDENTITY,Marie Force,1459294920,1
Harlequin,FATAL SCANDAL,Marie Force,1426898762,1
HQN,FATAL THREAT,Marie Force,1460399986,1
HTJB,LIGHT AFTER DARK,Marie Force,1946136034,0
HTJB,LOVE AFTER DARK,Marie Force,1942295332,1
HTJB,SEX MACHINE,Marie Force,1942295839,0
Marie Force,WAITING FOR LOVE,Marie Force,985034157,1
"Farrar, Straus & Giroux",LILA,Marilynne Robinson,374187614,0
Random House,NIGHT FILM,Marisha Pessl,679643915,1
Flatiron,THE SECRET HISTORY OF TWIN PEAKS,Mark Frost,1250075580,0
Flatiron Books,TWIN PEAKS: THE FINAL DOSSIER,Mark Frost,1250163307,1
Berkley,GUNMETAL GRAY,Mark Greaney,698406850,1
Putnam,TOM CLANCY FULL FORCE AND EFFECT,Mark Greaney,399173358,4
Putnam,TOM CLANCY: COMMANDER IN CHIEF,Mark Greaney,698410610,0
Mariner,WINTER'S TALE,Mark Helprin,547543867,0
Ballantine,LILAC GIRLS,Martha Hall Kelly,1101883081,20
Simon & Schuster,TATIANA,Martin Cruz Smith,1439153183,0
Gallery Books,BEACH HOUSE FOR RENT,Mary Alice Monroe,1501125516,1
Gallery,BEACH HOUSE REUNION,Mary Alice Monroe,1501193317,1
Dial Press,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,Mary Ann Shaffer and Annie Barrows,440337976,0
Signet,ONLY A KISS,Mary Balogh,698156102,1
Signet,ONLY BELOVED,Mary Balogh,698411323,1
Signet,ONLY ENCHANTING,Mary Balogh,698156080,1
Berkley,SOMEONE TO CARE,Mary Balogh,399586091,1
Jove,SOMEONE TO HOLD,Mary Balogh,698411390,1
Signet,SOMEONE TO LOVE,Mary Balogh,451477790,1
Berkley,SOMEONE TO WED,Mary Balogh,399586075,1
Simon & Schuster,"ALL BY MYSELF, ALONE",Mary Higgins Clark,1501131125,4
Simon & Schuster,AS TIME GOES BY,Mary Higgins Clark,1501130447,0
Simon & Schuster,DADDY'S GONE A HUNTING,Mary Higgins Clark,1451668961,0
Simon & Schuster,ILL WALK ALONE,Mary Higgins Clark,1439180962,5
Simon & Schuster,I'VE GOT MY EYES ON YOU,Mary Higgins Clark,1501171690,4
Simon & Schuster,I'VE GOT YOU UNDER MY SKIN,Mary Higgins Clark,1476749108,0
Simon & Schuster,THE LOST YEARS,Mary Higgins Clark,1451668937,0
Simon & Schuster,THE MELODY LINGERS ON,Mary Higgins Clark,1476749132,0
Simon & Schuster,THE SHADOW OF YOUR SMILE,Mary Higgins Clark,1439180989,0
Simon & Schuster,ALL DRESSED IN WHITE,Mary Higgins Clark and Alafair Burke,1501108557,2
Simon & Schuster,EVERY BREATH YOU TAKE,Mary Higgins Clark and Alafair Burke,150117164,2
Simon & Schuster,THE CINDERELLA MURDER,Mary Higgins Clark and Alafair Burke,1476763127,0
Simon & Schuster,THE SLEEPING BEAUTY KILLER,Mary Higgins Clark and Alafair Burke,1501108581,0
St. Martins Press,SPRING FEVER,Mary Kay Andrews,1466802634,1
St. Martin's,THE HIGH TIDE CLUB,Mary Kay Andrews,1250126096,3
St. Martin's,THE WEEKENDERS,Mary Kay Andrews,1466872926,4
Mira,THE GOOD GIRL,Mary Kubica,1460330196,2
Broadway,WORLD WAR Z,Max Brooks,307351939,8
Berkley,BRIGHTER THAN THE SUN,Maya Banks,698176197,1
Random House Publishing,HIGHLANDER MOST WANTED,Maya Banks,345538897,1
Avon,JUST ONE TOUCH,Maya Banks,62410199,1
Avon,KEEP ME SAFE,Maya Banks,62312472,0
Random House Publishing,NEVER LOVE A HIGHLANDER,Maya Banks,345519523,0
Random House Publishing,NEVER SEDUCE A SCOT,Maya Banks,345536037,0
Avon,SAFE AT LAST,Maya Banks,62312510,1
Avon,WITH EVERY BREATH,Maya Banks,62410172,1
Ballantine,THE WEDNESDAY SISTERS,Meg Waite Clayton,345507843,0
Riverhead,THE FEMALE PERSUASION,Meg Wolitzer,525533222,1
Red Dress,DEFIANT QUEEN,Meghan March,1943796033,1
Red Dress Press,IRON PRINCESS,Meghan March,1943796084,1
Red Dress Press,ROGUE ROYALTY,Meghan March,1943796106,1
Red Dress,SAVAGE PRINCE,Meghan March,1943796068,1
Delacorte,THE SWANS OF FIFTH AVENUE,Melanie Benjamin,345539753,0
Gossamer,SCORCHED,Melody Anne,1938786947,1
Gossamer,SEDUCED,Melody Anne,1938786858,1
Forever,HARD LOVE,Meredith Wild,1455591742,1
Mia Sheridan,ARCHER'S VOICE,Mia Sheridan,692214844,1
Penguin Group,ROBERT B. PARKERS KILLING THE BLUES,Michael Brandman,399157840,1
Harper/HarperCollins,MOONGLOW,Michael Chabon,62225553,0
HarperCollins Publishers,TELEGRAPH AVENUE,Michael Chabon,61493341,1
"Little, Brown",THE BLACK BOX,Michael Connelly,316069442,5
"Little, Brown",THE BLACK ECHO,Michael Connelly,759525773,0
"Little, Brown",THE BLACK ICE,Michael Connelly,759525781,0
"Little, Brown",THE BURNING ROOM,Michael Connelly,316225924,0
"Little, Brown",THE CROSSING,Michael Connelly,1455524158,0
"Little, Brown",THE FIFTH WITNESS,Michael Connelly,316069388,8
"Little, Brown",THE GODS OF GUILT,Michael Connelly,316069507,0
"Little, Brown",THE LATE SHOW,Michael Connelly,316225975,7
"Little, Brown",THE LINCOLN LAWYER,Michael Connelly,759514712,0
"Little, Brown & Company",THE SAFE MAN,Michael Connelly,316233684,0
"Little, Brown",THE WRONG SIDE OF GOODBYE,Michael Connelly,316225959,7
"Little, Brown",TWO KINDS OF TRUTH,Michael Connelly,316225916,7
Harper,DRAGON TEETH,Michael Crichton,62473352,4
Harper,PIRATE LATITUDES,Michael Crichton,61938742,0
Harper,PREY,Michael Crichton,61750239,1
HarperCollins Publishers,MICRO,Michael Crichton and Richard Preston,60873027,0
Knopf,WARLIGHT,Michael Ondaatje,525521194,1
St. Martins,A HEARTBEAT AWAY,Michael Palmer,1429994266,0
Open Road Media,THE HANGING JUDGE,Michael Ponsor,1480441929,0
Picador,THE REVENANT,Michael Punke,1250072689,8
"Mulholland/Little, Brown",SAY YOU'RE SORRY,Michael Robotham,316221252,1
St. Martin's,ABUSE OF POWER,Michael Savage,312651619,0
St. Martin's Griffin,A PARIS APARTMENT,Michelle Gable,1466849622,0
Putnam,TOM CLANCY: POINT OF CONTACT,Mike Maden,735215863,2
Harper,THE FIRST PHONE CALL FROM HEAVEN,Mitch Albom,62294377,0
Harper/HarperCollins,THE MAGIC STRINGS OF FRANKIE PRESTO,Mitch Albom,62294415,5
Hyperion Press,THE TIME KEEPER,Mitch Albom,1401322786,0
Orbit,THE STONE SKY,N K Jemisin,316229253,1
Berkley,ARCHANGEL'S VIPER,Nalini Singh,451488253,1
Berkley,SILVER SILENCE,Nalini Singh,1101987812,1
Penwyck,HER LAST LETTER,Nancy C Johnson,979190916,0
Ballantine,THE ISLAND HOUSE,Nancy Thayer,1101967064,0
Knopf,THE NIX,Nathan Hill,1101946628,0
HarperCollins,REAMDE,Neal Stephenson,61977969,1
Morrow/HarperCollins,SEVENEVES,Neal Stephenson,62190377,0
Morrow,TRIGGER WARNING,Neil Gaiman,62330268,0
Grand Central Publishing,PLUM ISLAND,Nelson DeMille,759528330,1
Simon & Schuster,THE CUBAN AFFAIR,Nelson DeMille,1501101749,6
Grand Central Publishing,THE PANTHER,Nelson DeMille,1455518379,0
Center Street,THE QUEST,Nelson DeMille,1455576425,0
Minotaur,BOAR ISLAND,Nevada Barr,1466870931,0
Minotaur,DESTROYER ANGEL,Nevada Barr,1466841680,0
St. Martin's Press,THE ROPE,Nevada Barr,1429951133,1
Grand Central,SAFE HAVEN,Nicholas Sparks,446574244,0
Grand Central,SEE ME,Nicholas Sparks,1455520608,15
Grand Central,THE CHOICE,Nicholas Sparks,446401315,9
Grand Central,THE GUARDIAN,Nicholas Sparks,759527881,1
Grand Central,THE LONGEST RIDE,Nicholas Sparks,1455520667,25
Grand Central Publishing,THE LUCKY ONE,Nicholas Sparks,446542180,0
Grand Central,THE WEDDING,Nicholas Sparks,759507910,1
Grand Central,TWO BY TWO,Nicholas Sparks,1455520691,16
Grand Central,BEFORE THE FALL,Noah Hawley,1455561800,0
Berkley,BLOOD MAGICK,Nora Roberts,698144546,0
Penguin Group,CHASING FIRE,Nora Roberts,515150630,0
St. Martin's,COME SUNDOWN,Nora Roberts,1250123100,5
Berkley,ISLAND OF GLASS,Nora Roberts,425280128,3
Berkley,STARS OF FORTUNE,Nora Roberts,425280101,4
Putnam,THE COLLECTOR,Nora Roberts,515154121,0
Putnam,THE LIAR,Nora Roberts,1101989750,10
Penguin Group,THE SEARCH,Nora Roberts,515149489,0
Harlequin,UNFINISHED BUSINESS,Nora Roberts,1459295366,6
Vintage,A TASTE FOR DEATH,P D James,307758982,1
Knopf Doubleday Publishing,DEATH COMES TO PEMBERLEY,P D James,307959856,0
Mira,THE ORPHAN'S TALE,Pam Jenoff,778319814,1
Ace,BURN BRIGHT,Patricia Briggs,698195833,1
Ace,FIRE TOUCHED,Patricia Briggs,698180917,0
Penguin Group,RIVER MARKED,Patricia Briggs,441019730,0
Ace,SHIFTING SHADOWS,Patricia Briggs,1101609508,0
Ace,SILENCE FALLEN,Patricia Briggs,698195817,1
Morrow,CHAOS,Patricia Cornwell,62436686,0
Morrow/HarperCollins,DEPRAVED HEART,Patricia Cornwell,62325426,0
Penguin Group,THE WISE MAN'S FEAR,Patrick Rothfuss,756404738,0
"Farrar, Straus & Giroux",THE SELLOUT,Paul Beatty,1250083257,0
Riverhead,INTO THE WATER,Paula Hawkins,735211221,13
Riverhead,THE GIRL ON THE TRAIN,Paula Hawkins,1594634025,102
Ballantine,CIRCLING THE SUN,Paula McLain,345534190,4
Random House,THE PARIS WIFE,Paula McLain,345521323,0
Knopf,ADULTERY,Paulo Coelho,1101874082,0
HarperCollins,THE ALCHEMIST,Paulo Coelho,62416219,6
Penelope Ward,DRUNK DIAL,Penelope Ward,1942215665,1
Penelope Ward,GENTLEMAN NINE,Penelope Ward,1942215738,1
Penelope Ward,NEIGHBOR DEAREST,Penelope Ward,1942215479,1
Penelope Ward,ROOMHATE,Penelope Ward,1942215363,2
Penelope Ward,STEPBROTHER DEAREST,Penelope Ward,1942215037,4
C. Scott Publishing,COCKY BASTARD,Penelope Ward and Vi Keeland,1942215215,0
EverAfter Romance,PLAYBOY PILOT,Penelope Ward and Vi Keeland,1942215495,0
C. Scott Publishing,REBEL HEART,Penelope Ward and Vi Keeland,1942215800,1
Del Rey,THE SKULL THRONE,Peter V Brett,804177473,1
Penguin Press,REDEPLOYMENT,Phil Klay,1594204993,1
Mariner,THE MAN IN THE HIGH CASTLE,Philip K Dick,547572484,0
Touchstone,THE BOLEYN INHERITANCE,Philippa Gregory,743298543,0
Simon & Schuster,THE KINGMAKERS DAUGHTER,Philippa Gregory,1451626142,1
Simon & Schuster,THE KINGMAKERS DAUGHTER,Philippa Gregory,1451626142,1
Touchstone,THE LAST TUDOR,Philippa Gregory,1476758786,1
Touchstone,THE TAMING OF THE QUEEN,Philippa Gregory,1476758824,1
Touchstone,THE WHITE PRINCESS,Philippa Gregory,1451626150,1
Touchstone,THE WHITE QUEEN,Philippa Gregory,1416563911,0
Touchstone,"THREE SISTERS, THREE QUEENS",Philippa Gregory,1476758751,1
Del Rey,GOLDEN SON,Pierce Brown,345539826,1
Del Rey,IRON GOLD,Pierce Brown,425285928,1
Del Rey,MORNING STAR,Pierce Brown,345539850,1
Wizards of the Coast,NEVERWINTER,R A Salvatore,786958421,0
Rerum Industries,DOUBLE DARE,R L Mathewson,988573237,1
HarperCollins,ANY MAN OF MINE,Rachel Gibson,62079166,1
HarperCollins Publishers,RESCUE ME,Rachel Gibson,62069136,1
Thomas Nelson,THE WEDDING DRESS,Rachel Hauck,1401686311,0
Rachel Van Dyken,THE BET,Rachel Van Dyken,989078310,7
HQN,RIVERBEND ROAD,Raeanne Thayne,373789831,0
HQN,SNOWFALL ON HAVEN POINT,RaeAnne Thayne,1459294947,1
HQN,SUGAR PINE TRAIL,RaeAnne Thayne,373803680,1
Putnam,CARIBBEAN RIM,Randy Wayne White,735212783,1
Putnam,ROBERT B. PARKER'S BLIND SPOT,Reed Farrel Coleman,698155629,1
Putnam,THE HANGMAN'S SONNET,Reed Farrel Coleman,698166612,1
Hyperion Press,FROZEN HEAT,Richard Castle,1401304729,1
Hyperion,HEAT RISES,Richard Castle,1401303919,0
Hyperion Press,HEAT WAVE,Richard Castle,1401394760,0
Kingswell,RAGING HEAT,Richard Castle,1484720342,1
Scribner,FALL FROM GRACE,Richard North Patterson,1451617089,0
Simon & Schuster,A STEP OF FAITH,Richard Paul Evans,1451628293,1
